"","dinosaurus","rok_1986","rok_1987","rok_1988","rok_1989","rok_1990","rok_1991","rok_1992","rok_1993","rok_1994","rok_1995"
"49","Noasaurus",162,97,122,121,134,139,93,58,41,22
"50","Rinconsaurus",68,80,40,24,12,14,15,21,14,14
"51","Nemegtosaurus",175,259,189,249,301,286,169,204,165,89
"52","Albertadromeus",186,186,264,261,347,413,368,265,236,333
"53","Apatosaurus",49,67,84,45,45,66,69,82,99,64
"54","Barsboldia",111,89,55,47,60,67,93,139,167,244
"55","Acristavus",45,64,96,60,73,81,109,148,198,283
"56","Marginocephalians",70,102,55,82,93,47,64,55,44,30
"57","Saltriosaurus",153,211,217,156,114,148,203,252,302,365
"58","Antetonitrus",140,188,188,107,139,167,224,293,293,299
"59","Oohkotokia",26,13,15,20,15,9,11,8,8,10
"60","Ekrixinatosaurus",61,82,52,58,68,65,86,105,151,154
"61","Ajkaceratops",126,100,85,92,48,25,30,38,54,72
"62","Marginocephalians",148,186,273,142,192,282,271,236,281,169
"63","Amurosaurus",104,113,144,148,167,249,139,189,229,254
"64","Dromiceiomimus",65,58,49,32,16,9,7,8,10,8
"65","Spinosaurus",44,26,38,51,73,55,28,32,30,29
"66","Altirhinus",129,70,80,112,160,83,120,144,143,93
"67","Aristosuchus",185,141,158,125,70,80,68,92,108,75
"68","Angolatitan",138,75,45,63,88,76,46,54,59,62
"69","Australovenator",77,75,98,83,104,136,143,160,190,260
"70","Archaeornithomimus",33,48,68,77,65,62,45,47,46,36
"71","Carnotaurus",43,32,19,28,38,19,25,35,48,49
"72","Alvarezsaurus",29,39,21,19,22,18,16,14,11,8
"73","Alxasaurus",103,98,71,39,41,58,34,40,47,51
"74","Aralosaurus",53,40,53,77,54,73,65,81,69,63
"75","struthiomimus",144,194,192,211,133,88,125,142,118,104
"76","Bonitasaura",120,136,84,52,55,35,33,29,21,17
"77","Aardonyx",180,234,168,190,215,176,252,260,333,420
"78","Balaur",5,7,7,5,2,2,2,2,2,2
"79","Avaceratops",128,110,106,156,211,226,258,356,484,547
"80","Titanosaurids",13,8,8,7,7,10,10,8,9,8
"81","Ampelosaurus",123,172,163,240,190,120,60,69,75,59
"82","Arcovenator",193,235,301,181,257,347,236,316,465,609
"83","Austroraptor",63,77,82,56,40,48,53,77,100,89
"84","Astrodon",7,6,7,10,5,4,6,6,3,4
"85","Seismosaurus",131,151,163,178,94,96,95,67,44,41
"86","Angulomastacator",143,193,166,181,114,157,206,138,185,96
"87","Ouranosaurus",46,63,60,87,107,105,129,182,147,122
"88","Abrictosaurus",92,116,113,155,107,156,225,155,149,136
"89","Allosaurus",173,251,351,302,257,296,228,162,186,208
"90","Anzu",106,106,127,107,111,165,223,187,243,180
"91","Kaijiangosaurus",187,163,217,165,219,324,262,325,179,249
"92","Bistahieversor",66,81,119,130,86,96,119,60,86,43
"93","Yongjinglong",6,6,4,4,5,7,10,7,7,10
"94","Kotasaurus",73,102,147,96,133,189,202,117,168,86
"95","Bonapartenykus",163,165,82,102,141,193,125,109,122,179
